mv_id,move_name,ele_type,pp,priority,category,atk,accuracy,prob,effect,effect_target,min_times,max_times
1,pound,normal,35,0,physical,40,100,,Inflicts regular damage with no additional effect.,1,,
2,karate-chop,fighting,25,0,physical,50,100,,Has an increased chance for a critical hit.,1,,
3,double-slap,normal,10,0,physical,15,85,,Hits 2-5 times in one turn.,1,2,5
4,comet-punch,normal,15,0,physical,18,85,,Hits 2-5 times in one turn.,1,2,5
5,mega-punch,normal,20,0,physical,80,85,,Inflicts regular damage with no additional effect.,1,,
6,pay-day,normal,20,0,physical,40,100,,Scatters money on the ground worth five times the user's level.,1,,
7,fire-punch,fire,15,0,physical,75,100,10,Has a $effect_chance% chance to [burn]{mechanic:burn} the target.,1,,
8,ice-punch,ice,15,0,physical,75,100,10,Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.,1,,
9,thunder-punch,electric,15,0,physical,75,100,10,Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.,1,,
10,scratch,normal,35,0,physical,40,100,,Inflicts regular damage with no additional effect.,1,,
11,vice-grip,normal,30,0,physical,55,100,,Inflicts regular damage with no additional effect.,1,,
12,guillotine,normal,5,0,physical,,30,,Causes a one-hit KO.,1,,
13,razor-wind,normal,10,0,special,80,100,,Requires a turn to charge before attacking.,1,,
14,swords-dance,normal,20,0,status,,,,Raises the user's Attack by two stages.,0,,
15,cut,normal,30,0,physical,50,95,,Inflicts regular damage with no additional effect.,1,,
16,gust,flying,35,0,special,40,100,,Inflicts regular damage and can hit Pokemon in the air.,1,,
17,wing-attack,flying,35,0,physical,60,100,,Inflicts regular damage with no additional effect.,1,,
18,whirlwind,normal,20,-6,status,,,,Immediately ends wild battles.  Forces trainers to switch Pokemon.,1,,
19,fly,flying,15,0,physical,90,95,,"User flies high into the air, dodging all attacks, and hits next turn.",1,,
20,bind,normal,20,0,physical,15,85,100,Prevents the target from fleeing and inflicts damage for 2-5 turns.,1,,
21,slam,normal,20,0,physical,80,75,,Inflicts regular damage with no additional effect.,1,,
22,vine-whip,grass,25,0,physical,45,100,,Inflicts regular damage with no additional effect.,1,,
23,stomp,normal,20,0,physical,65,100,30,Has a $effect_chance% chance to make the target flinch.,1,,
24,double-kick,fighting,30,0,physical,30,100,,Hits twice in one turn.,1,2,2
25,mega-kick,normal,5,0,physical,120,75,,Inflicts regular damage with no additional effect.,1,,
26,jump-kick,fighting,10,0,physical,100,95,,"If the user misses, it takes half the damage it would have inflicted in recoil.",1,,
27,rolling-kick,fighting,15,0,physical,60,85,30,Has a $effect_chance% chance to make the target flinch.,1,,
28,sand-attack,ground,15,0,status,,100,,Lowers the target's accuracy by one stage.,1,,
29,headbutt,normal,15,0,physical,70,100,30,Has a $effect_chance% chance to make the target flinch.,1,,
30,horn-attack,normal,25,0,physical,65,100,,Inflicts regular damage with no additional effect.,1,,
31,fury-attack,normal,20,0,physical,15,85,,Hits 2-5 times in one turn.,1,2,5
32,horn-drill,normal,5,0,physical,,30,,Causes a one-hit KO.,1,,
33,tackle,normal,35,0,physical,40,100,,Inflicts regular damage with no additional effect.,1,,
34,body-slam,normal,15,0,physical,85,100,30,Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.,1,,
35,wrap,normal,20,0,physical,15,90,100,Prevents the target from fleeing and inflicts damage for 2-5 turns.,1,,
36,take-down,normal,20,0,physical,90,85,,User receives 1/4 the damage it inflicts in recoil.,1,,
37,thrash,normal,10,0,physical,120,100,,"Hits every turn for 2-3 turns, then confuses the user.",1,,
38,double-edge,normal,15,0,physical,120,100,,User receives 1/3 the damage inflicted in recoil.,1,,
39,tail-whip,normal,30,0,status,,100,,Lowers the target's Defense by one stage.,1,,
40,poison-sting,posion,35,0,physical,15,100,30,Has a $effect_chance% chance to [poison]{mechanic:poison} the target.,1,,
41,twineedle,bug,20,0,physical,25,100,20,Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.,1,2,2
42,pin-missile,bug,20,0,physical,25,95,,Hits 2-5 times in one turn.,1,2,5
43,leer,normal,30,0,status,,100,100,Lowers the target's Defense by one stage.,1,,
44,bite,dark,25,0,physical,60,100,30,Has a $effect_chance% chance to make the target flinch.,1,,
45,growl,normal,40,0,status,,100,,Lowers the target's Attack by one stage.,1,,
46,roar,normal,20,-6,status,,,,Immediately ends wild battles.  Forces trainers to switch Pokemon.,1,,
47,sing,normal,15,0,status,,55,,Puts the target to sleep.,1,,
48,supersonic,normal,20,0,status,,55,,Confuses the target.,1,,
49,sonic-boom,normal,20,0,special,,90,,Inflicts 20 points of damage.,1,,
50,disable,normal,20,0,status,,100,,Disables the target's last used move for 1-8 turns.,1,,
51,acid,posion,30,0,special,40,100,10,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,1,,
52,ember,fire,25,0,special,40,100,10,Has a $effect_chance% chance to [burn]{mechanic:burn} the target.,1,,
53,flamethrower,fire,15,0,special,90,100,10,Has a $effect_chance% chance to [burn]{mechanic:burn} the target.,1,,
55,water-gun,water,25,0,special,40,100,,Inflicts regular damage with no additional effect.,1,,
56,hydro-pump,water,5,0,special,110,80,,Inflicts regular damage with no additional effect.,1,,
58,ice-beam,ice,10,0,special,90,100,10,Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.,1,,
59,blizzard,ice,5,0,special,110,70,10,Has a $effect_chance% chance to freeze the target.,1,,
60,psybeam,psychic,20,0,special,65,100,10,Has a $effect_chance% chance to confuse the target.,1,,
61,bubble-beam,water,20,0,special,65,100,10,Has a $effect_chance% chance to lower the target's Speed by one stage.,1,,
62,aurora-beam,ice,20,0,special,65,100,10,Has a $effect_chance% chance to lower the target's Attack by one stage.,1,,
63,hyper-beam,normal,5,0,special,150,90,,User foregoes its next turn to recharge.,1,,
64,peck,flying,35,0,physical,35,100,,Inflicts regular damage with no additional effect.,1,,
65,drill-peck,flying,20,0,physical,80,100,,Inflicts regular damage with no additional effect.,1,,
66,submission,fighting,20,0,physical,80,80,,User receives 1/4 the damage it inflicts in recoil.,1,,
67,low-kick,fighting,20,0,physical,,100,,"Inflicts more damage to heavier targets, with a maximum of 120 power.",1,,
68,counter,fighting,20,-5,physical,,100,,Inflicts twice the damage the user received from the last physical hit it took.,1,,
69,seismic-toss,fighting,20,0,physical,,100,,Inflicts damage equal to the user's level.,1,,
70,strength,normal,15,0,physical,80,100,,Inflicts regular damage with no additional effect.,1,,
71,absorb,grass,25,0,special,20,100,,Drains half the damage inflicted to heal the user.,1,,
72,mega-drain,grass,15,0,special,40,100,,Drains half the damage inflicted to heal the user.,1,,
73,leech-seed,grass,10,0,status,,90,,"Seeds the target, stealing HP from it every turn.",1,,
74,growth,normal,20,0,status,,,,Raises the user's Attack and Special Attack by one stage.,0,,
75,razor-leaf,grass,25,0,physical,55,95,,Has an increased chance for a critical hit.,1,,
76,solar-beam,grass,10,0,special,120,100,,Requires a turn to charge before attacking.,1,,
77,poison-powder,posion,35,0,status,,75,,Poisons the target.,1,,
78,stun-spore,grass,30,0,status,,75,,Paralyzes the target.,1,,
79,sleep-powder,grass,15,0,status,,75,,Puts the target to sleep.,1,,
80,petal-dance,grass,10,0,special,120,100,,"Hits every turn for 2-3 turns, then confuses the user.",1,,
81,string-shot,bug,40,0,status,,95,,Lowers the target's Speed by two stages.,1,,
82,dragon-rage,dragon,10,0,special,,100,,Inflicts 40 points of damage.,1,,
83,fire-spin,fire,15,0,special,35,85,100,Prevents the target from fleeing and inflicts damage for 2-5 turns.,1,,
84,thunder-shock,electric,30,0,special,40,100,10,Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.,1,,
