mv_id,move_name,ele_type,pp,priority,category,atk,accuracy,prob,effect,description,effect_target,min_times,max_times
1,pound,normal,35,0,physical,40,100,NULL,NULL,inflicts regular damage with no additional effect.,1,NULL,NULL
3,double-slap,normal,10,0,physical,15,85,,,hits 2-5 times in one turn.,1,2,5
4,comet-punch,normal,15,0,physical,18,85,,,hits 2-5 times in one turn.,1,2,5
5,mega-punch,normal,20,0,physical,80,85,,,inflicts regular damage with no additional effect.,1,,
7,fire-punch,fire,15,0,physical,75,100,10,burn,has a $effect_chance% chance to burn the target.,1,,
8,ice-punch,ice,15,0,physical,75,100,10,freeze,has a $effect_chance% chance to freeze the target.,1,,
9,thunder-punch,electric,15,0,physical,75,100,10,paralysis,has a $effect_chance% chance to paralysis the target.,1,,
10,scratch,normal,35,0,physical,40,100,,,inflicts regular damage with no additional effect.,1,,
11,vice-grip,normal,30,0,physical,55,100,,,inflicts regular damage with no additional effect.,1,,
14,swords-dance,normal,20,0,status,,,100,atk +2,raises the user's attack by two stages.,0,,
15,cut,normal,30,0,physical,50,95,,,inflicts regular damage with no additional effect.,1,,
16,gust,flying,35,0,special,40,100,,,inflicts regular damage and can hit pok�mon in the air.,1,,
17,wing-attack,flying,35,0,physical,60,100,,,inflicts regular damage with no additional effect.,1,,
21,slam,normal,20,0,physical,80,75,,,inflicts regular damage with no additional effect.,1,,
22,vine-whip,grass,25,0,physical,45,100,,,inflicts regular damage with no additional effect.,1,,
24,double-kick,fighting,30,0,physical,30,100,,,hits twice in one turn.,1,2,2
25,mega-kick,normal,5,0,physical,120,75,,,inflicts regular damage with no additional effect.,1,,
28,sand-attack,ground,15,0,status,,100,100,acc -1,lowers the target's accuracy by one stage.,1,,
30,horn-attack,normal,25,0,physical,65,100,,,inflicts regular damage with no additional effect.,1,,
31,fury-attack,normal,20,0,physical,15,85,,,hits 2-5 times in one turn.,1,2,5
33,tackle,normal,35,0,physical,40,100,,,inflicts regular damage with no additional effect.,1,,
34,body-slam,normal,15,0,physical,85,100,30,paralysis,has a $effect_chance% chance to paralysis the target.,1,,
39,tail-whip,normal,30,0,status,,100,100,def -1,lowers the target's defense by one stage.,1,,
40,poison-sting,posion,35,0,physical,15,100,30,poison,has a $effect_chance% chance to poison the target.,1,,
41,twineedle,bug,20,0,physical,25,100,20,poison,hits twice in the same turn.  has a $effect_chance% chance to poison the target.,1,2,2
42,pin-missile,bug,20,0,physical,25,95,,,hits 2-5 times in one turn.,1,2,5
43,leer,normal,30,0,status,,100,100,def -1,lowers the target's defense by one stage.,1,,
45,growl,normal,40,0,status,,100,100,atk -1,lowers the target's attack by one stage.,1,,
47,sing,normal,15,0,status,,55,100,sleep,puts the target to sleep.,1,,
51,acid,posion,30,0,special,40,100,10,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,,
52,ember,fire,25,0,special,40,100,10,burn,has a $effect_chance% chance to burn the target.,1,,
53,flamethrower,fire,15,0,special,90,100,10,burn,has a $effect_chance% chance to burn the target.,1,,
55,water-gun,water,25,0,special,40,100,,,inflicts regular damage with no additional effect.,1,,
56,hydro-pump,water,5,0,special,110,80,,,inflicts regular damage with no additional effect.,1,,
58,ice-beam,ice,10,0,special,90,100,10,freeze,has a $effect_chance% chance to freeze the target.,1,,
59,blizzard,ice,5,0,special,110,70,10,freeze,has a $effect_chance% chance to freeze the target.,1,,
61,bubble-beam,water,20,0,special,65,100,10,spd -1,has a $effect_chance% chance to lower the target's speed by one stage.,1,,
62,aurora-beam,ice,20,0,special,65,100,10,atk -1,has a $effect_chance% chance to lower the target's attack by one stage.,1,,
64,peck,flying,35,0,physical,35,100,,,inflicts regular damage with no additional effect.,1,,
65,drill-peck,flying,20,0,physical,80,100,,,inflicts regular damage with no additional effect.,1,,
70,strength,normal,15,0,physical,80,100,,,inflicts regular damage with no additional effect.,1,,
74,growth,normal,20,0,status,,,100,spatk +1,raises the user's attack and special attack by one stage.,0,,
77,poison-powder,posion,35,0,status,,75,100,poison,poisons the target.,1,,
78,stun-spore,grass,30,0,status,,75,100,paralysis,paralyzes the target.,1,,
79,sleep-powder,grass,15,0,status,,75,100,sleep,puts the target to sleep.,1,,
81,string-shot,bug,40,0,status,,95,100,spd -2,lowers the target's speed by two stages.,1,,
84,thunder-shock,electric,30,0,special,40,100,10,paralysis,has a $effect_chance% chance to paralysis the target.,1,,
85,thunderbolt,electric,15,0,special,90,100,10,paralysis,has a $effect_chance% chance to paralysis the target.,1,,
86,thunder-wave,electric,20,0,status,,90,100,paralysis,paralyzes the target.,1,,
87,thunder,electric,10,0,special,110,70,30,paralysis,has a $effect_chance% chance to paralyze the target.,1,,
88,rock-throw,rock,15,0,physical,50,90,,,inflicts regular damage with no additional effect.,1,,
92,toxic,posion,10,0,status,,90,100,badly poison,"badly poisons the target, inflicting more damage every turn.",1,,
94,psychic,psychic,10,0,special,90,100,10,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,,
95,hypnosis,psychic,20,0,status,,60,100,sleep,puts the target to sleep.,1,,
96,meditate,psychic,40,0,status,,,100,atk +1,raises the user's attack by one stage.,0,,
97,agility,psychic,30,0,status,,,100,spd +2,raises the user's speed by two stages.,0,,
98,quick-attack,normal,30,1,physical,40,100,,,inflicts regular damage with no additional effect.,1,,
103,screech,normal,40,0,status,,85,100,def -2,lowers the target's defense by two stages.,1,,
104,double-team,normal,15,0,status,,,100,evasion +1,raises the user's evasion by one stage.,0,,
106,harden,normal,30,0,status,,,100,def +1,raises the user's defense by one stage.,0,,
107,minimize,normal,10,0,status,,,100,evasion +2,raises the user's evasion by two stages.,0,,
108,smokescreen,normal,20,0,status,,100,100,acc -1,lowers the target's accuracy by one stage.,1,,
110,withdraw,water,40,0,status,,,100,def +1,raises the user's defense by one stage.,0,,
111,defense-curl,normal,40,0,status,,,100,def +1,raises user's defense by one stage.,0,,
112,barrier,psychic,20,0,status,,,100,def +2,raises the user's defense by two stages.,0,,
121,egg-bomb,normal,10,0,physical,100,75,,,inflicts regular damage with no additional effect.,1,,
122,lick,ghost,30,0,physical,30,100,30,paralysis,has a $effect_chance% chance to paralysis the target.,1,,
123,smog,posion,20,0,special,30,70,40,poison,has a $effect_chance% chance to poison the target.,1,,
124,sludge,posion,20,0,special,65,100,30,poison,has a $effect_chance% chance to poison the target.,1,,
126,fire-blast,fire,5,0,special,110,85,10,burn,has a $effect_chance% chance to burn the target.,1,,
129,swift,normal,20,0,special,60,,,,never misses.,1,,
131,spike-cannon,normal,15,0,physical,20,100,,,hits 2-5 times in one turn.,1,2,5
132,constrict,normal,35,0,physical,10,100,10,spd -1,has a $effect_chance% chance to lower the target's speed by one stage.,1,,
133,amnesia,psychic,20,0,status,,,100,spdef +2,raises the user's special defense by two stages.,0,,
134,kinesis,psychic,15,0,status,,80,100,acc -1,lowers the target's accuracy by one stage.,1,,
137,glare,normal,30,0,status,,100,100,paralysis,paralyzes the target.,1,,
139,poison-gas,posion,40,0,status,,90,100,poison,poisons the target.,1,,
140,barrage,normal,20,0,physical,15,85,,,hits 2-5 times in one turn.,1,2,5
142,lovely-kiss,normal,10,0,status,,75,100,sleep,puts the target to sleep.,1,,
145,bubble,water,30,0,special,40,100,10,spd -1,has a $effect_chance% chance to lower the target's speed by one stage.,1,,
147,spore,grass,15,0,status,,100,100,sleep,puts the target to sleep.,1,,
148,flash,normal,20,0,status,,100,100,acc -1,lowers the target's accuracy by one stage.,1,,
150,splash,normal,40,0,status,,,,,does nothing.,0,,
151,acid-armor,posion,20,0,status,,,100,def +2,raises the user's defense by two stages.,0,,
154,fury-swipes,normal,15,0,physical,18,80,,,hits 2-5 times in one turn.,1,2,5
155,bonemerang,ground,10,0,physical,50,90,,,hits twice in one turn.,1,2,2
159,sharpen,normal,30,0,status,,,100,atk +1,raises the user's attack by one stage.,0,,
172,flame-wheel,fire,25,0,physical,60,100,10,burn,has a $effect_chance% chance to burn the target.  lets frozen pok�mon thaw themselves.,1,,
178,cotton-spore,grass,40,0,status,,100,100,spd -2,lowers the target's speed by two stages.,1,,
181,powder-snow,ice,25,0,special,40,100,10,freeze,has a $effect_chance% chance to freeze the target.,1,,
183,mach-punch,fighting,30,1,physical,40,100,,,inflicts regular damage with no additional effect.,1,,
184,scary-face,normal,10,0,status,,100,100,spd -2,lowers the target's speed by two stages.,1,,
185,feint-attack,dark,20,0,physical,60,,,,never misses.,1,,
188,sludge-bomb,posion,10,0,special,90,100,30,poison,has a $effect_chance% chance to poison the target.,1,,
189,mud-slap,ground,10,0,special,20,100,100,acc -1,has a $effect_chance% chance to lower the target's accuracy by one stage.,1,,
190,octazooka,water,10,0,special,65,85,50,acc -1,has a $effect_chance% chance to lower the target's accuracy by one stage.,1,,
192,zap-cannon,electric,5,0,special,120,50,100,paralysis,has a $effect_chance% chance to paralysis the target.,1,,
196,icy-wind,ice,15,0,special,55,95,100,spd -1,has a $effect_chance% chance to lower the target's speed by one stage.,1,,
198,bone-rush,ground,10,0,physical,25,90,,,hits 2-5 times in one turn.,1,2,5
204,charm,fairy,20,0,status,,100,100,atk -2,lowers the target's attack by two stages.,1,,
209,spark,electric,20,0,physical,65,100,30,paralysis,has a $effect_chance% chance to paralysis the target.,1,,
211,steel-wing,steel,25,0,physical,70,90,10,def +1,has a $effect_chance% chance to raise the user's defense by one stage.,0,,
216,return,normal,20,0,physical,102,100,,,power increases with happiness (always 102 in this game),1,,
218,frustration,normal,20,0,physical,1,100,,,power increases as happiness decreases (always 1 in this game),1,,
221,sacred-fire,fire,5,0,physical,100,95,50,burn,has a $effect_chance% chance to burn the target.  lets frozen pok�mon thaw themselves.,1,,
224,megahorn,bug,10,0,physical,120,85,,,inflicts regular damage with no additional effect.,1,,
225,dragon-breath,dragon,20,0,special,60,100,30,paralysis,has a $effect_chance% chance to paralysis the target.,1,,
229,rapid-spin,normal,40,0,physical,50,100,100,,"frees the user from binding moves, removes leech seed, and blows away spikes.",1,,
230,sweet-scent,normal,20,0,status,,100,100,evasion -1,lowers the target's evasion by one stage.,1,,
231,iron-tail,steel,15,0,physical,100,75,30,def -1,has a $effect_chance% chance to lower the target's defense by one stage.,1,,
232,metal-claw,steel,35,0,physical,50,95,10,atk +1,has a $effect_chance% chance to raise the user's attack by one stage.,0,,
233,vital-throw,fighting,10,-1,physical,70,,,,never misses.,1,,
242,crunch,dark,15,0,physical,80,100,20,def -1,has a $effect_chance% chance to lower the target's defense by one stage.,1,,
245,extreme-speed,normal,5,2,physical,80,100,,,inflicts regular damage with no additional effect.,1,,
247,shadow-ball,ghost,15,0,special,80,100,20,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,,
249,rock-smash,fighting,15,0,physical,40,100,50,def -1,has a $effect_chance% chance to lower the target's defense by one stage.,1,,
257,heat-wave,fire,10,0,special,95,90,10,burn,has a $effect_chance% chance to burn the target.,1,,
261,will-o-wisp,fire,15,0,status,,85,100,burn,burns the target.,1,,
268,charge,electric,20,0,status,,,100,spdef +1,raises the user's special defense by one stage.,0,,
280,brick-break,fighting,15,0,physical,75,100,,,destroys reflect and light screen.,1,,
282,knock-off,dark,20,0,physical,65,100,,,target drops its held item.,1,,
292,arm-thrust,fighting,20,0,physical,15,100,,,hits 2-5 times in one turn.,1,2,5
294,tail-glow,bug,20,0,status,,,100,spatk +3,raises the user's special attack by three stages.,0,,
295,luster-purge,psychic,5,0,special,70,100,50,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,,
296,mist-ball,psychic,5,0,special,70,100,50,spatk -1,has a $effect_chance% chance to lower the target's special attack by one stage.,1,,
297,feather-dance,flying,15,0,status,,100,100,atk -2,lowers the target's attack by two stages.,1,,
299,blaze-kick,fire,10,0,physical,85,90,10,burn,has $effect_chance% chance to burn the target.,1,,
304,hyper-voice,normal,10,0,special,90,100,,,inflicts regular damage with no additional effect.,1,,
305,poison-fang,posion,15,0,physical,50,100,50,badly poison,has a $effect_chance% chance to badly poison the target.,1,,
306,crush-claw,normal,10,0,physical,75,95,50,def -1,has a $effect_chance% chance to lower the target's defense by one stage.,1,,
309,meteor-mash,steel,10,0,physical,90,90,20,atk +1,has a $effect_chance% chance to raise the user's attack by one stage.,0,,
311,weather-ball,normal,10,0,special,50,100,,,"if there be weather, this move has doubled power and the weather's type.",1,,
313,fake-tears,dark,20,0,status,,100,100,spdef -2,lowers the target's special defense by two stages.,1,,
315,overheat,fire,5,0,special,130,90,100,spatk -2,lowers the user's special attack by two stages after inflicting damage.,0,,
317,rock-tomb,rock,15,0,physical,60,95,100,spd -1,has a $effect_chance% chance to lower the target's speed by one stage.,1,,
319,metal-sound,steel,40,0,status,,85,100,spdef -2,lowers the target's special defense by two stages.,1,,
320,grass-whistle,grass,15,0,status,,55,100,sleep,puts the target to sleep.,1,,
325,shadow-punch,ghost,20,0,physical,60,,,,never misses.,1,,
327,sky-uppercut,fighting,15,0,physical,85,90,,,inflicts regular damage and can hit bounce and fly users.,1,,
330,muddy-water,water,10,0,special,90,85,30,acc -1,has a $effect_chance% chance to lower the target's accuracy by one stage.,1,,
331,bullet-seed,grass,30,0,physical,25,100,,,hits 2-5 times in one turn.,1,2,5
332,aerial-ace,flying,20,0,physical,60,,,,never misses.,1,,
333,icicle-spear,ice,30,0,physical,25,100,,,hits 2-5 times in one turn.,1,2,5
334,iron-defense,steel,15,0,status,,,100,def +2,raises the user's defense by two stages.,0,,
337,dragon-claw,dragon,15,0,physical,80,100,,,inflicts regular damage with no additional effect.,1,,
341,mud-shot,ground,15,0,special,55,95,100,spd -1,has a $effect_chance% chance to lower the target's speed by one stage.,1,,
342,poison-tail,posion,25,0,physical,50,100,10,poison,has $effect_chance% chance to poison the target.,1,,
345,magical-leaf,grass,20,0,special,60,,,,never misses.,1,,
350,rock-blast,rock,10,0,physical,25,90,,,hits 2-5 times in one turn.,1,2,5
351,shock-wave,electric,20,0,special,60,,,,never misses.,1,,
354,psycho-boost,psychic,5,0,special,140,90,100,spatk -2,lowers the user's special attack by two stages after inflicting damage.,0,,
359,hammer-arm,fighting,10,0,physical,100,90,100,spd -1,lowers user's speed by one stage.,0,,
365,pluck,flying,20,0,physical,60,100,,,"if target has a berry, inflicts double damage and uses the berry.",1,,
395,force-palm,fighting,10,0,physical,60,100,30,paralysis,has a $effect_chance% chance to paralysis the target.,1,,
396,aura-sphere,fighting,20,0,special,80,,,,never misses.,1,,
397,rock-polish,rock,20,0,status,,,100,spd +2,raises the user's speed by two stages.,0,,
398,poison-jab,posion,20,0,physical,80,100,30,poison,has a $effect_chance% chance to poison the target.,1,,
401,aqua-tail,water,10,0,physical,90,90,,,inflicts regular damage with no additional effect.,1,,
402,seed-bomb,grass,15,0,physical,80,100,,,inflicts regular damage with no additional effect.,1,,
404,x-scissor,bug,15,0,physical,80,100,,,inflicts regular damage with no additional effect.,1,,
405,bug-buzz,bug,10,0,special,90,100,10,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,,
406,dragon-pulse,dragon,10,0,special,85,100,,,inflicts regular damage with no additional effect.,1,,
408,power-gem,rock,20,0,special,80,100,,,inflicts regular damage with no additional effect.,1,,
410,vacuum-wave,fighting,30,1,special,40,100,,,inflicts regular damage with no additional effect.,1,,
411,focus-blast,fighting,5,0,special,120,70,10,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,,
412,energy-ball,grass,10,0,special,90,100,10,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,,
