pkdex,pkm_name,ele_type_1,ele_type_2,strength_hp,strength_atk,strength_def,strength_spatk,strength_spdef,strength_spd
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45
2,Ivysaur,Grass,Poison,60,62,63,80,80,60
3,Venusaur,Grass,Poison,80,82,83,100,100,80
4,Charmander,Fire,,39,52,43,60,50,65
5,Charmeleon,Fire,,58,64,58,80,65,80
6,Charizard,Fire,Flying,78,84,78,109,85,100
7,Squirtle,Water,,44,48,65,50,64,43
8,Wartortle,Water,,59,63,80,65,80,58
9,Blastoise,Water,,79,83,100,85,105,78
10,Caterpie,Bug,,45,30,35,20,20,45
11,Metapod,Bug,,50,20,55,25,25,30
12,Butterfree,Bug,Flying,60,45,50,90,80,70
13,Weedle,Bug,Poison,40,35,30,20,20,50
14,Kakuna,Bug,Poison,45,25,50,25,25,35
15,Beedrill,Bug,Poison,65,90,40,45,80,75
16,Pidgey,Normal,Flying,40,45,40,35,35,56
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71
18,Pidgeot,Normal,Flying,83,80,75,70,70,101
19,Rattata,Normal,,30,56,35,25,35,72
20,Raticate,Normal,,55,81,60,50,70,97
21,Spearow,Normal,Flying,40,60,30,31,31,70
22,Fearow,Normal,Flying,65,90,65,61,61,100
23,Ekans,Poison,,35,60,44,40,54,55
24,Arbok,Poison,,60,85,69,65,79,80
25,Pikachu,Electric,,35,55,40,50,50,90
26,Raichu,Electric,,60,90,55,90,80,110
27,Sandshrew,Ground,,50,75,85,20,30,40
28,Sandslash,Ground,,75,100,110,45,55,65
29,Nidoran♀,Poison,,55,47,52,40,40,41
30,Nidorina,Poison,,70,62,67,55,55,56
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76
32,Nidoran♂,Poison,,46,57,40,40,40,50
33,Nidorino,Poison,,61,72,57,55,55,65
34,Nidoking,Poison,Ground,81,102,77,85,75,85
35,Clefairy,Fairy,,70,45,48,60,65,35
36,Clefable,Fairy,,95,70,73,95,90,60
37,Vulpix,Fire,,38,41,40,50,65,65
38,Ninetales,Fire,,73,76,75,81,100,100
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45
41,Zubat,Poison,Flying,40,45,35,30,40,55
42,Golbat,Poison,Flying,75,80,70,65,75,90
43,Oddish,Grass,Poison,45,50,55,75,65,30
44,Gloom,Grass,Poison,60,65,70,85,75,40
45,Vileplume,Grass,Poison,75,80,85,110,90,50
46,Paras,Bug,Grass,35,70,55,45,55,25
47,Parasect,Bug,Grass,60,95,80,60,80,30
48,Venonat,Bug,Poison,60,55,50,40,55,45
49,Venomoth,Bug,Poison,70,65,60,90,75,90
50,Diglett,Ground,,10,55,25,35,45,95
51,Dugtrio,Ground,,35,80,50,50,70,120
52,Meowth,Normal,,40,45,35,40,40,90
53,Persian,Normal,,65,70,60,65,65,115
54,Psyduck,Water,,50,52,48,65,50,55
55,Golduck,Water,,80,82,78,95,80,85
56,Mankey,Fighting,,40,80,35,35,45,70
57,Primeape,Fighting,,65,105,60,60,70,95
58,Growlithe,Fire,,55,70,45,70,50,60
59,Arcanine,Fire,,90,110,80,100,80,95
60,Poliwag,Water,,40,50,40,40,40,90
61,Poliwhirl,Water,,65,65,65,50,50,90
62,Poliwrath,Water,Fighting,90,95,95,70,90,70
63,Abra,Psychic,,25,20,15,105,55,90
64,Kadabra,Psychic,,40,35,30,120,70,105
65,Alakazam,Psychic,,55,50,45,135,95,120
66,Machop,Fighting,,70,80,50,35,35,35
67,Machoke,Fighting,,80,100,70,50,60,45
68,Machamp,Fighting,,90,130,80,65,85,55
69,Bellsprout,Grass,Poison,50,75,35,70,30,40
70,Weepinbell,Grass,Poison,65,90,50,85,45,55
71,Victreebel,Grass,Poison,80,105,65,100,70,70
72,Tentacool,Water,Poison,40,40,35,50,100,70
73,Tentacruel,Water,Poison,80,70,65,80,120,100
74,Geodude,Rock,Ground,40,80,100,30,30,20
75,Graveler,Rock,Ground,55,95,115,45,45,35
76,Golem,Rock,Ground,80,120,130,55,65,45
77,Ponyta,Fire,,50,85,55,65,65,90
78,Rapidash,Fire,,65,100,70,80,80,105
79,Slowpoke,Water,Psychic,90,65,65,40,40,15
80,Slowbro,Water,Psychic,95,75,110,100,80,30
