mv_id,move_name,ele_type,pp,priority,category,atk,accuracy,prob,effect,effect_target,min_times,max_times
1,pound,normal,35,0,physical,40,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
3,double-slap,normal,10,0,physical,15,85,,Hits 2-5 times in one turn.,1,2,5
4,comet-punch,normal,15,0,physical,18,85,,Hits 2-5 times in one turn.,1,2,5
5,mega-punch,normal,20,0,physical,80,85,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
7,fire-punch,fire,15,0,physical,75,100,10,Has a $effect_chance% chance to [burn]{mechanic:burn} the target.,1,,
8,ice-punch,ice,15,0,physical,75,100,10,Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.,1,,
9,thunder-punch,electric,15,0,physical,75,100,10,Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.,1,,
10,scratch,normal,35,0,physical,40,100,,Inflicts regular damage with no additional effect.,1,,
11,vice-grip,normal,30,0,physical,55,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
14,swords-dance,normal,20,0,status,,,,Raises the user's Attack by two stages.,0,,
15,cut,normal,30,0,physical,50,95,,Inflicts regular damage with no additional effect.,1,,
16,gust,flying,35,0,special,40,100,,Inflicts regular damage and can hit Pokémon in the air.,1,,
17,wing-attack,flying,35,0,physical,60,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
21,slam,normal,20,0,physical,80,75,,Inflicts regular damage with no additional effect.,1,,
22,vine-whip,grass,25,0,physical,45,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
24,double-kick,fighting,30,0,physical,30,100,,Hits twice in one turn.,1,2,2
25,mega-kick,normal,5,0,physical,120,75,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
28,sand-attack,ground,15,0,status,,100,,Lowers the target's accuracy by one stage.,1,,
,,,,,,,,,,,,
30,horn-attack,normal,25,0,physical,65,100,,Inflicts regular damage with no additional effect.,1,,
31,fury-attack,normal,20,0,physical,15,85,,Hits 2-5 times in one turn.,1,2,5
,,,,,,,,,,,,
33,tackle,normal,35,0,physical,40,100,,Inflicts regular damage with no additional effect.,1,,
34,body-slam,normal,15,0,physical,85,100,30,Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
39,tail-whip,normal,30,0,status,,100,,Lowers the target's Defense by one stage.,1,,
40,poison-sting,posion,35,0,physical,15,100,30,Has a $effect_chance% chance to [poison]{mechanic:poison} the target.,1,,
41,twineedle,bug,20,0,physical,25,100,20,Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.,1,2,2
42,pin-missile,bug,20,0,physical,25,95,,Hits 2-5 times in one turn.,1,2,5
43,leer,normal,30,0,status,,100,100,Lowers the target's Defense by one stage.,1,,
,,,,,,,,,,,,
45,growl,normal,40,0,status,,100,,Lowers the target's Attack by one stage.,1,,
,,,,,,,,,,,,
47,sing,normal,15,0,status,,55,100,Puts the target to sleep.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
51,acid,posion,30,0,special,40,100,10,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,1,,
52,ember,fire,25,0,special,40,100,10,Has a $effect_chance% chance to [burn]{mechanic:burn} the target.,1,,
53,flamethrower,fire,15,0,special,90,100,10,Has a $effect_chance% chance to [burn]{mechanic:burn} the target.,1,,
55,water-gun,water,25,0,special,40,100,,Inflicts regular damage with no additional effect.,1,,
56,hydro-pump,water,5,0,special,110,80,,Inflicts regular damage with no additional effect.,1,,
58,ice-beam,ice,10,0,special,90,100,10,Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.,1,,
59,blizzard,ice,5,0,special,110,70,10,Has a $effect_chance% chance to freeze the target.,1,,
,,,,,,,,,,,,
61,bubble-beam,water,20,0,special,65,100,10,Has a $effect_chance% chance to lower the target's Speed by one stage.,1,,
62,aurora-beam,ice,20,0,special,65,100,10,Has a $effect_chance% chance to lower the target's Attack by one stage.,1,,
,,,,,,,,,,,,
64,peck,flying,35,0,physical,35,100,,Inflicts regular damage with no additional effect.,1,,
65,drill-peck,flying,20,0,physical,80,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
70,strength,normal,15,0,physical,80,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
74,growth,normal,20,0,status,,,100,Raises the user's Attack and Special Attack by one stage.,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
77,poison-powder,posion,35,0,status,,75,100,Poisons the target.,1,,
78,stun-spore,grass,30,0,status,,75,100,Paralyzes the target.,1,,
79,sleep-powder,grass,15,0,status,,75,100,Puts the target to sleep.,1,,
,,,,,,,,,,,,
81,string-shot,bug,40,0,status,,95,100,Lowers the target's Speed by two stages.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
84,thunder-shock,electric,30,0,special,40,100,10,Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.,1,,
85,thunderbolt,electric,15,0,special,90,100,10,Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.,1,,
86,thunder-wave,electric,20,0,status,,90,100,Paralyzes the target.,1,,
87,thunder,electric,10,0,special,110,70,30,Has a $effect_chance% chance to paralyze the target.,1,,
88,rock-throw,rock,15,0,physical,50,90,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
92,toxic,posion,10,0,status,,90,100,"Badly poisons the target, inflicting more damage every turn.",1,,
,,,,,,,,,,,,
94,psychic,psychic,10,0,special,90,100,10,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,1,,
