mv_id,move_name,ele_type,pp,priority,category,atk,accuracy,prob,effect,description,effect_target,min_times,max_times
1,pound,normal,35,0,physical,40,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
3,double-slap,normal,10,0,physical,15,85,NULL,NULL,hits 2-5 times in one turn.,1,2,5
4,comet-punch,normal,15,0,physical,18,85,NULL,NULL,hits 2-5 times in one turn.,1,2,5
5,mega-punch,normal,20,0,physical,80,85,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
7,fire-punch,fire,15,0,physical,75,100,10,burn,has a $effect_chance% chance to burn the target.,1,1,1
8,ice-punch,ice,15,0,physical,75,100,10,freeze,has a $effect_chance% chance to freeze the target.,1,1,1
9,thunder-punch,electric,15,0,physical,75,100,10,paralysis,has a $effect_chance% chance to paralysis the target.,1,1,1
10,scratch,normal,35,0,physical,40,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
11,vice-grip,normal,30,0,physical,55,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
14,swords-dance,normal,20,0,status,NULL,NULL,100,atk +2,raises the user's attack by two stages.,0,1,1
15,cut,normal,30,0,physical,50,95,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
16,gust,flying,35,0,special,40,100,NULL,NULL,inflicts regular damage and can hit pokemon in the air.,1,1,1
17,wing-attack,flying,35,0,physical,60,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
21,slam,normal,20,0,physical,80,75,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
22,vine-whip,grass,25,0,physical,45,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
24,double-kick,fighting,30,0,physical,30,100,NULL,NULL,hits twice in one turn.,1,2,2
25,mega-kick,normal,5,0,physical,120,75,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
28,sand-attack,ground,15,0,status,NULL,100,100,acc -1,lowers the target's accuracy by one stage.,1,1,1
30,horn-attack,normal,25,0,physical,65,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
31,fury-attack,normal,20,0,physical,15,85,NULL,NULL,hits 2-5 times in one turn.,1,2,5
33,tackle,normal,35,0,physical,40,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
34,body-slam,normal,15,0,physical,85,100,30,paralysis,has a $effect_chance% chance to paralysis the target.,1,1,1
39,tail-whip,normal,30,0,status,NULL,100,100,def -1,lowers the target's defense by one stage.,1,1,1
40,poison-sting,posion,35,0,physical,15,100,30,poison,has a $effect_chance% chance to poison the target.,1,1,1
41,twineedle,bug,20,0,physical,25,100,20,poison,hits twice in the same turn.  has a $effect_chance% chance to poison the target.,1,2,2
42,pin-missile,bug,20,0,physical,25,95,NULL,NULL,hits 2-5 times in one turn.,1,2,5
43,leer,normal,30,0,status,NULL,100,100,def -1,lowers the target's defense by one stage.,1,1,1
45,growl,normal,40,0,status,NULL,100,100,atk -1,lowers the target's attack by one stage.,1,1,1
47,sing,normal,15,0,status,NULL,55,100,sleep,puts the target to sleep.,1,1,1
51,acid,posion,30,0,special,40,100,10,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,1,1
52,ember,fire,25,0,special,40,100,10,burn,has a $effect_chance% chance to burn the target.,1,1,1
53,flamethrower,fire,15,0,special,90,100,10,burn,has a $effect_chance% chance to burn the target.,1,1,1
55,water-gun,water,25,0,special,40,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
56,hydro-pump,water,5,0,special,110,80,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
58,ice-beam,ice,10,0,special,90,100,10,freeze,has a $effect_chance% chance to freeze the target.,1,1,1
59,blizzard,ice,5,0,special,110,70,10,freeze,has a $effect_chance% chance to freeze the target.,1,1,1
61,bubble-beam,water,20,0,special,65,100,10,spd -1,has a $effect_chance% chance to lower the target's speed by one stage.,1,1,1
